,"Graphics Card Database
Maintained by Nathan Mayer Since 2005",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,GPU Clockspeed*,Memory Clockspeed,Core Configuration*,GPU,Memory Size (MB),Buswidth (bits),Max Pixel Fillrate (MP/s),Max Texel Fillrate (MT/s),Max Shader Performance (MFLOPS),Max Bandwidth (MB/s),Vertex Proc.,"Max Vertices
(in millions)",DirectX Gen,Memory Type*,Process Size,Transistors,Bus Slot,Ext. Power,"Target Market
at Introduction","Year of
Release",Notes
Radeon HD 4650,600,1000(500),320 SP; 32 TMU; 8 ROP,RV730,512,128,4800,19200,384000,16000,320,9600,DX10.1,DDR2,55nm,514m,PCIe2.0,no,Lower Mainstream,2008,
Radeon HD 4670,750,"1800(900), 2000(1000), 2200(1100)",320 SP; 32 TMU; 8 ROP,RV730,512-1024,128,6000,24000,480000,35200,320,12000,DX10.1,"DDR3,GDDR3,GDDR4",55nm,514m,"PCIe2.0,AGP8X",no,Mainstream,2008,1GB model uses DDR3 memory.
Radeon HD 4770,750,3200(800),640 SP; 32 TMU; 16 ROP,RV740,512,128,12000,24000,960000,51200,640,24000,DX10.1,GDDR5,40nm,826m,PCIe2.0,6pin,Mainstream,2009,
Radeon HD 4830,625,2000(1000),640 SP; 32 TMU; 16 ROP,RV770LE,512,256,10000,20000,800000,64000,640,20000,DX10.1,GDDR3,55nm,956m,PCIe2.0,6pin,Mainstream,2008,
Radeon HD 4850,625,2000(1000),800 SP; 40 TMU; 16 ROP,RV770,512-1024,256,10000,25000,1000000,64000,800,25000,DX10.1,GDDR3,55nm,956m,PCIe2.0,6pin,Upper Mainstream,2008,
Radeon HD 4850X2,625,2000(1000),800 SP; 40 TMU; 16 ROP(x2),R700,1024,256(x2),10000(x2),25000(x2),1000000(x2),64000(x2),800(x2),25000(x2),DX10.1,GDDR3,55nm,956m(x2),PCIe2.0,6+8pin,Highend,2008,Dual GPU card.
Radeon HD 4860,700,3000(750),640 SP; 32 TMU; 16 ROP,RV790,512-1024,256,11200,22400,896000,96000,640,22400,DX10.1,GDDR5,55nm,959m,PCIe2.0,6pin(x2),Mainstream,2009,
Radeon HD 4870,750,3600(900),800 SP; 40 TMU; 16 ROP,RV770,512-1024,256,12000,30000,1200000,115200,800,30000,DX10.1,GDDR5,55nm,956m,PCIe2.0,6pin(x2),Highend,2008,First to use GDDR5 memory.
Radeon HD 4870X2,750,3600(900),800 SP; 40 TMU; 16 ROP(x2),R700,1024,256(x2),12000(x2),30000(x2),1200000(x2),115200(x2),800(x2),30000(x2),DX10.1,GDDR5,55nm,956m(x2),PCIe2.0,6+8pin,Enthusiast,2008,Dual GPU card.
Radeon HD 4890,"850, 900",3900(975),800 SP; 40 TMU; 16 ROP,RV790,1024,256,14400,36000,1440000,124800,800,36000,DX10.1,GDDR5,55nm,959m,PCIe2.0,6+8pin,Highend,2009,First to break the 1GHz GPU barrier with factory overclocked versions.
Radeon HD 5450,650,"666(333), 1600(800)",80 SP; 8 TMU; 4 ROP,Cedar,512-1024,64,2600,5200,104000,12800,80,2600,DX11,GDDR3,40nm,292m,"PCIe2.1,AGP8X",no,Budget,2010,
Radeon HD 5550,550,800(400),320 SP; 16 TMU; 8 ROP,Redwood,512-1024,128,4400,8800,352000,12800,320,8800,DX11,DDR2,40nm,627m,PCIe2.1,no,Budget,2010,
Radeon HD 5570,650,1800(900),400 SP; 20 TMU; 8 ROP,Redwood,512-1024,128,5200,13000,520000,28800,400,13000,DX11,GDDR3,40nm,627m,PCIe2.1,no,Upper Budget,2010,
Radeon HD 5670,775,4000(1000),400 SP; 20 TMU; 8 ROP,Redwood,512-1024,128,6200,15500,620000,64000,400,15500,DX11,GDDR5,40nm,627m,PCIe2.1,no,Lower Mainstream,2010,
Radeon HD 5750,700,4600(1150),720 SP; 36 TMU; 16 ROP,Juniper,512-1024,128,11200,25200,1008000,73600,720,25200,DX11,GDDR5,40nm,1.04b,PCIe2.1,6pin,Mainstream,2009,
Radeon HD 5770,850,4800(1200),800 SP; 40 TMU; 16 ROP,Juniper,1024,128,13600,34000,1360000,76800,800,34000,DX11,GDDR5,40nm,1.04b,PCIe2.1,6pin,Upper Mainstream,2009,
Radeon HD 5830,800,4000(1000),1120 SP; 56 TMU; 16 ROP,Cypress,1024,256,12800,44800,1792000,128000,1120,44800,DX11,GDDR5,40nm,2.15b,PCIe2.1,6pin(x2),Upper Mainstream,2010,
Radeon HD 5850,725,4000(1000),1440 SP; 72 TMU; 32 ROP,Cypress,1024,256,23200,52200,2088000,128000,1440,52200,DX11,GDDR5,40nm,2.15b,PCIe2.1,6pin(x2),Highend,2009,
Radeon HD 5870,850,4800(1200),1600 SP; 80 TMU; 32 ROP,Cypress,1024-2048,256,27200,68000,2720000,153600,1600,68000,DX11,GDDR5,40nm,2.15b,PCIe2.1,6pin(x2),Highend,2009,First to support DX11.
Radeon HD 5870 EF6,850,4800(1200),1600 SP; 80 TMU; 32 ROP,Cypress,2048,256,27200,68000,2720000,153600,1600,68000,DX11,GDDR5,40nm,2.15b,PCIe2.1,6+8pin,Enthusiast,2010,"Eyefinity 6 edition, can power up to six displays."
Radeon HD 5970,725,4000(1000),1600 SP; 80 TMU; 32 ROP(x2),Hemlock,1024,256(x2),23200(x2),58000(x2),2320000(x2),128000(x2),1600(x2),58000(x2),DX11,GDDR5,40nm,2.15b(x2),PCIe2.1,6+8pin,Enthusiast,2009,Dual GPU card.
Radeon HD 6350,650,1600(800),80 SP; 8 TMU; 4 ROP,Cedar,512-1024,64,2600,5200,104000,12800,80,2600,DX11,GDDR3,40nm,292m,PCIe2.1,no,Budget,2011,
